instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,timestamp,season_label,weather_label,weekday_label,temp_c,feels_like_c,humidity_pct,windspeed_scaled,cnt_iqr_high
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,2011-01-02 12:00:00,spring,mist_or_cloudy,sunday,14.76,16.665,66.0,19.999499999999998,False
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,2011-01-02 13:00:00,spring,mist_or_cloudy,sunday,14.76,17.424999999999997,66.0,8.9981,False
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,2011-01-02 14:00:00,spring,light_rain_or_snow,sunday,14.76,17.424999999999997,76.0,12.998000000000001,False
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,2011-01-02 15:00:00,spring,light_rain_or_snow,sunday,13.940000000000001,16.665,81.0,11.0014,False
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,2011-01-02 16:00:00,spring,light_rain_or_snow,sunday,13.940000000000001,16.665,71.0,11.0014,False
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,2011-01-02 17:00:00,spring,clear_or_partly_cloudy,sunday,13.940000000000001,16.665,56.99999999999999,12.998000000000001,False
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,2011-01-02 18:00:00,spring,mist_or_cloudy,sunday,14.76,16.665,46.0,22.0028,False
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,2011-01-02 19:00:00,spring,clear_or_partly_cloudy,sunday,13.120000000000001,14.395,42.0,30.002599999999997,False
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,2011-01-02 20:00:00,spring,clear_or_partly_cloudy,sunday,12.299999999999999,13.635,39.0,23.9994,False
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,2011-01-02 21:00:00,spring,clear_or_partly_cloudy,sunday,10.66,11.365,44.0,22.0028,False
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,2011-01-02 22:00:00,spring,clear_or_partly_cloudy,sunday,9.84,10.605,44.0,19.999499999999998,False
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,2011-01-02 23:00:00,spring,clear_or_partly_cloudy,sunday,9.02,11.365,47.0,11.0014,False
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,2011-01-03 00:00:00,spring,clear_or_partly_cloudy,monday,9.02,9.85,44.0,23.9994,False
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,2011-01-03 01:00:00,spring,clear_or_partly_cloudy,monday,8.200000000000001,8.334999999999999,44.0,27.999299999999998,False
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,2011-01-03 04:00:00,spring,clear_or_partly_cloudy,monday,6.5600000000000005,6.819999999999999,47.0,26.0027,False
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,2011-01-03 05:00:00,spring,clear_or_partly_cloudy,monday,6.5600000000000005,6.819999999999999,47.0,19.0012,False
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,2011-01-03 06:00:00,spring,clear_or_partly_cloudy,monday,5.74,5.305,50.0,26.0027,False
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,2011-01-03 07:00:00,spring,clear_or_partly_cloudy,monday,5.74,6.819999999999999,50.0,12.998000000000001,False
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,2011-01-03 08:00:00,spring,clear_or_partly_cloudy,monday,5.74,6.0600000000000005,50.0,19.0012,False
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,2011-01-03 09:00:00,spring,clear_or_partly_cloudy,monday,6.5600000000000005,6.819999999999999,43.0,26.0027,False
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,2011-01-03 10:00:00,spring,clear_or_partly_cloudy,monday,7.38,8.334999999999999,43.0,16.997899999999998,False
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,2011-01-03 11:00:00,spring,clear_or_partly_cloudy,monday,8.200000000000001,9.09,40.0,22.0028,False
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,2011-01-03 12:00:00,spring,clear_or_partly_cloudy,monday,9.02,10.605,35.0,19.999499999999998,False
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,2011-01-03 13:00:00,spring,clear_or_partly_cloudy,monday,9.84,10.605,35.0,19.0012,False
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,2011-01-03 14:00:00,spring,clear_or_partly_cloudy,monday,10.66,12.120000000000001,30.0,19.0012,False
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,2011-01-03 15:00:00,spring,clear_or_partly_cloudy,monday,10.66,12.120000000000001,30.0,16.997899999999998,False
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,2011-01-03 16:00:00,spring,clear_or_partly_cloudy,monday,10.66,12.120000000000001,30.0,16.997899999999998,False
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,2011-01-03 17:00:00,spring,clear_or_partly_cloudy,monday,9.84,11.365,30.0,15.001299999999999,False
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,2011-01-03 18:00:00,spring,clear_or_partly_cloudy,monday,9.84,12.879999999999999,32.0,7.0015,False
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,2011-01-03 19:00:00,spring,clear_or_partly_cloudy,monday,8.200000000000001,12.879999999999999,47.0,0.0,False
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,2011-01-03 20:00:00,spring,clear_or_partly_cloudy,monday,8.200000000000001,11.365,47.0,7.0015,False
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,2011-01-03 21:00:00,spring,clear_or_partly_cloudy,monday,7.38,9.85,64.0,8.9981,False
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,2011-01-03 22:00:00,spring,clear_or_partly_cloudy,monday,5.74,7.575,69.0,8.9981,False
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,2011-01-03 23:00:00,spring,clear_or_partly_cloudy,monday,7.38,10.605,55.00000000000001,7.0015,False
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,2011-01-04 00:00:00,spring,clear_or_partly_cloudy,tuesday,6.5600000000000005,9.09,55.00000000000001,7.0015,False
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,2011-01-04 01:00:00,spring,clear_or_partly_cloudy,tuesday,6.5600000000000005,9.09,59.0,7.0015,False
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,2011-01-04 02:00:00,spring,clear_or_partly_cloudy,tuesday,5.74,7.575,63.0,8.9981,False
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,2011-01-04 04:00:00,spring,clear_or_partly_cloudy,tuesday,5.74,9.09,63.0,6.0032,False
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,2011-01-04 05:00:00,spring,clear_or_partly_cloudy,tuesday,4.92,7.575,68.0,7.0015,False
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,2011-01-04 06:00:00,spring,clear_or_partly_cloudy,tuesday,4.92,7.575,74.0,7.0015,False
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,2011-01-04 07:00:00,spring,clear_or_partly_cloudy,tuesday,4.92,7.575,74.0,8.9981,False
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,2011-01-04 08:00:00,spring,clear_or_partly_cloudy,tuesday,5.74,7.575,69.0,11.0014,False
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,2011-01-04 09:00:00,spring,clear_or_partly_cloudy,tuesday,6.5600000000000005,7.575,64.0,15.001299999999999,False
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,2011-01-04 10:00:00,spring,mist_or_cloudy,tuesday,6.5600000000000005,6.819999999999999,69.0,22.0028,False
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,2011-01-04 11:00:00,spring,clear_or_partly_cloudy,tuesday,9.02,10.605,51.0,19.999499999999998,False
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,2011-01-04 12:00:00,spring,clear_or_partly_cloudy,tuesday,9.02,11.365,51.0,11.0014,False
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,2011-01-04 13:00:00,spring,clear_or_partly_cloudy,tuesday,9.84,11.365,56.00000000000001,12.998000000000001,False
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,2011-01-04 14:00:00,spring,clear_or_partly_cloudy,tuesday,10.66,12.879999999999999,52.0,15.001299999999999,False
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,2011-01-04 15:00:00,spring,clear_or_partly_cloudy,tuesday,11.48,13.635,52.0,16.997899999999998,False
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,2011-01-04 16:00:00,spring,clear_or_partly_cloudy,tuesday,12.299999999999999,14.395,49.0,16.997899999999998,False
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,2011-01-04 17:00:00,spring,clear_or_partly_cloudy,tuesday,11.48,13.635,48.0,15.001299999999999,False
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,2011-01-04 18:00:00,spring,clear_or_partly_cloudy,tuesday,10.66,12.879999999999999,48.0,12.998000000000001,False
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,2011-01-04 19:00:00,spring,clear_or_partly_cloudy,tuesday,9.84,12.879999999999999,48.0,7.0015,False
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,2011-01-04 20:00:00,spring,clear_or_partly_cloudy,tuesday,9.84,12.879999999999999,48.0,7.0015,False
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,2011-01-04 21:00:00,spring,clear_or_partly_cloudy,tuesday,9.02,13.635,64.0,0.0,False
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,2011-01-04 22:00:00,spring,clear_or_partly_cloudy,tuesday,9.02,12.879999999999999,64.0,6.0032,False
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,2011-01-04 23:00:00,spring,clear_or_partly_cloudy,tuesday,8.200000000000001,11.365,69.0,6.0032,False
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,2011-01-05 00:00:00,spring,clear_or_partly_cloudy,wednesday,8.200000000000001,12.879999999999999,64.0,0.0,False
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,2011-01-05 01:00:00,spring,clear_or_partly_cloudy,wednesday,6.5600000000000005,9.85,74.0,6.0032,False
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,2011-01-05 02:00:00,spring,clear_or_partly_cloudy,wednesday,6.5600000000000005,9.85,74.0,6.0032,False
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,2011-01-05 04:00:00,spring,clear_or_partly_cloudy,wednesday,9.84,11.365,48.0,15.001299999999999,False
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,2011-01-05 05:00:00,spring,clear_or_partly_cloudy,wednesday,9.02,11.365,47.0,11.0014,False
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,2011-01-05 06:00:00,spring,clear_or_partly_cloudy,wednesday,8.200000000000001,9.85,47.0,15.001299999999999,False
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,2011-01-05 07:00:00,spring,clear_or_partly_cloudy,wednesday,7.38,9.09,43.0,12.998000000000001,False
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,2011-01-05 08:00:00,spring,clear_or_partly_cloudy,wednesday,8.200000000000001,9.09,40.0,19.999499999999998,False
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,2011-01-05 09:00:00,spring,clear_or_partly_cloudy,wednesday,9.02,9.85,37.0,22.0028,False
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,2011-01-05 10:00:00,spring,clear_or_partly_cloudy,wednesday,9.02,9.85,37.0,22.0028,False
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,2011-01-05 11:00:00,spring,clear_or_partly_cloudy,wednesday,10.66,11.365,33.0,22.0028,False
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,2011-01-05 12:00:00,spring,clear_or_partly_cloudy,wednesday,10.66,11.365,33.0,22.0028,False
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,2011-01-05 13:00:00,spring,clear_or_partly_cloudy,wednesday,11.48,12.879999999999999,30.0,19.999499999999998,False
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,2011-01-05 14:00:00,spring,clear_or_partly_cloudy,wednesday,12.299999999999999,14.395,28.000000000000004,12.998000000000001,False
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,2011-01-05 15:00:00,spring,clear_or_partly_cloudy,wednesday,12.299999999999999,14.395,28.000000000000004,12.998000000000001,False
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,2011-01-05 16:00:00,spring,clear_or_partly_cloudy,wednesday,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,False
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,2011-01-05 17:00:00,spring,clear_or_partly_cloudy,wednesday,9.84,11.365,38.0,12.998000000000001,False
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,2011-01-05 18:00:00,spring,clear_or_partly_cloudy,wednesday,9.84,12.120000000000001,38.0,8.9981,False
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,2011-01-05 19:00:00,spring,clear_or_partly_cloudy,wednesday,9.84,12.879999999999999,38.0,7.0015,False
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,2011-01-05 20:00:00,spring,clear_or_partly_cloudy,wednesday,9.02,11.365,47.0,11.0014,False
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,2011-01-05 21:00:00,spring,clear_or_partly_cloudy,wednesday,8.200000000000001,9.85,51.0,12.998000000000001,False
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,2011-01-05 22:00:00,spring,clear_or_partly_cloudy,wednesday,7.38,9.85,55.00000000000001,8.9981,False
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,2011-01-05 23:00:00,spring,clear_or_partly_cloudy,wednesday,8.200000000000001,12.879999999999999,47.0,0.0,False
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,2011-01-06 00:00:00,spring,clear_or_partly_cloudy,thursday,7.38,12.120000000000001,55.00000000000001,0.0,False
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,2011-01-06 01:00:00,spring,clear_or_partly_cloudy,thursday,6.5600000000000005,11.365,64.0,0.0,False
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,2011-01-06 02:00:00,spring,clear_or_partly_cloudy,thursday,6.5600000000000005,11.365,64.0,0.0,False
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,2011-01-06 04:00:00,spring,mist_or_cloudy,thursday,6.5600000000000005,9.85,64.0,6.0032,False
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,2011-01-06 05:00:00,spring,mist_or_cloudy,thursday,5.74,9.09,69.0,6.0032,False
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,2011-01-06 06:00:00,spring,mist_or_cloudy,thursday,5.74,8.334999999999999,63.0,7.0015,False
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,2011-01-06 07:00:00,spring,mist_or_cloudy,thursday,6.5600000000000005,11.365,59.0,0.0,False
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,2011-01-06 08:00:00,spring,clear_or_partly_cloudy,thursday,6.5600000000000005,11.365,59.0,0.0,False
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,2011-01-06 09:00:00,spring,mist_or_cloudy,thursday,7.38,12.120000000000001,51.0,0.0,False
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,2011-01-06 10:00:00,spring,clear_or_partly_cloudy,thursday,8.200000000000001,12.879999999999999,47.0,0.0,False
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,2011-01-06 11:00:00,spring,clear_or_partly_cloudy,thursday,9.02,12.879999999999999,44.0,6.0032,False
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,2011-01-06 12:00:00,spring,clear_or_partly_cloudy,thursday,10.66,14.395,35.0,0.0,False
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,2011-01-06 13:00:00,spring,clear_or_partly_cloudy,thursday,10.66,13.635,35.0,7.0015,False
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,2011-01-06 14:00:00,spring,clear_or_partly_cloudy,thursday,11.48,13.635,36.0,11.0014,False
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,2011-01-06 15:00:00,spring,clear_or_partly_cloudy,thursday,11.48,13.635,36.0,0.0,False
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,2011-01-06 16:00:00,spring,clear_or_partly_cloudy,thursday,10.66,12.879999999999999,38.0,11.0014,False
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,2011-01-06 17:00:00,spring,clear_or_partly_cloudy,thursday,9.02,11.365,51.0,11.0014,False
